% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
461	1	0	5	0	26	7708	0	1	1	0
462	1	0	21	0	28	9422	0	1	1	0
466	1	0	4	0	26	7708	0	1	1	0
478	1	0	11	0	26	7708	0	1	1	0
479	1	0	8	0	26	7708	0	1	1	0
480	1	0	12	0	24	6882	0	1	1	0
481	1	0	15	0	26	7708	0	1	1	0
482	1	0	21	0	28	9422	0	1	1	0
483	1	0	20	0	28	9422	0	1	1	0
484	1	0	5	0	26	7708	0	1	1	0
500	1	0	11	0	26	7708	0	1	1	0
501	1	0	4	0	26	7708	0	1	1	0
502	1	0	21	0	28	9422	0	1	1	0
503	1	0	8	0	26	7708	0	1	1	0
504	1	0	12	0	24	6882	0	1	1	0
505	1	0	15	0	26	7708	0	1	1	0
506	1	0	20	0	28	9422	0	1	1	0
508	1	0	5	0	26	7708	0	1	1	0
