% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.347	0	0	35	8	12	24	6882	0
0.348	0	0	35	9	15	26	7708	0
0.349	0	0	35	10	20	28	9422	0
0.35	0	0	36	1	4	26	7708	0
0.351	0	0	36	2	4	26	7708	0
0.352	0	0	36	3	5	26	7708	0
0.359	0	0	36	10	5	26	7708	0
0.367	0	0	37	8	11	26	7708	0
0.368	0	0	37	9	8	26	7708	0
0.369	0	0	37	10	12	24	6882	0
0.37	0	0	38	1	15	26	7708	0
0.371	0	0	38	2	20	28	9422	0
0.372	0	0	38	3	5	26	7708	0
0.373	0	0	38	4	11	26	7708	0
0.374	0	0	38	5	8	26	7708	0
0.375	0	0	38	6	12	24	6882	0
0.376	0	0	38	7	15	26	7708	0
0.377	0	0	38	8	20	28	9422	0
0.378	0	0	38	9	4	26	7708	0
0.379	0	0	38	10	4	26	7708	0
0.388	0	0	39	9	11	26	7708	0
0.389	0	0	39	10	8	26	7708	0
0.39	0	0	40	1	12	24	6882	0
0.391	0	0	40	2	15	26	7708	0
0.393	0	0	40	4	20	28	9422	0
0.394	0	0	40	5	5	26	7708	0
0.395	0	0	40	6	11	26	7708	0
0.396	0	0	40	7	8	26	7708	0
0.397	0	0	40	8	12	24	6882	0
0.398	0	0	40	9	15	26	7708	0
0.399	0	0	40	10	20	28	9422	0
0.4	0	0	41	1	5	26	7708	0
0.406	0	0	41	7	4	26	7708	0
0.408	0	0	41	9	11	26	7708	0
0.409	0	0	41	10	8	26	7708	0
0.41	0	0	42	1	12	24	6882	0
0.411	0	0	42	2	15	26	7708	0
0.412	0	0	42	3	20	28	9422	0
0.413	0	0	42	4	4	26	7708	0
0.414	0	0	42	5	5	26	7708	0
0.415	0	0	42	6	11	26	7708	0
0.416	0	0	42	7	8	26	7708	0
0.417	0	0	42	8	12	24	6882	0
0.418	0	0	42	9	15	26	7708	0
0.421	0	0	43	2	5	26	7708	0
0.428	0	0	43	9	11	26	7708	0
0.429	0	0	43	10	8	26	7708	0
0.43	0	0	44	1	12	24	6882	0
0.431	0	0	44	2	15	26	7708	0
0.432	0	0	44	3	20	28	9422	0
0.433	0	0	44	4	5	26	7708	0
0.434	0	0	44	5	11	26	7708	0
0.435	0	0	44	6	8	26	7708	0
0.436	0	0	44	7	12	24	6882	0
0.437	0	0	44	8	15	26	7708	0
0.438	0	0	44	9	20	28	9422	0
0.439	0	0	44	10	4	26	7708	0
0.44	0	0	45	1	4	26	7708	0
0.446	0	0	45	7	4	26	7708	0
0.449	0	0	45	10	11	26	7708	0
0.45	0	0	46	1	8	26	7708	0
0.451	0	0	46	2	12	24	6882	0
0.452	0	0	46	3	15	26	7708	0
0.453	0	0	46	4	20	28	9422	0
0.455	0	0	46	6	5	26	7708	0
0.456	0	0	46	7	21	28	9422	0
0.46	0	0	47	1	4	26	7708	0
0.461	0	0	47	2	21	28	9422	0
0.467	0	0	47	8	4	26	7708	0
0.472	0	0	48	3	11	26	7708	0
0.473	0	0	48	4	8	26	7708	0
0.474	0	0	48	5	12	24	6882	0
0.475	0	0	48	6	15	26	7708	0
0.476	0	0	48	7	21	28	9422	0
0.477	0	0	48	8	20	28	9422	0
0.478	0	0	48	9	5	26	7708	0
0.479	0	0	48	10	11	26	7708	0
0.48	0	0	49	1	8	26	7708	0
0.481	0	0	49	2	21	28	9422	0
0.482	0	0	49	3	21	28	9422	0
0.494	0	0	50	5	11	26	7708	0
0.495	0	0	50	6	4	26	7708	0
0.496	0	0	50	7	21	28	9422	0
0.497	0	0	50	8	8	26	7708	0
0.498	0	0	50	9	12	24	6882	0
0.499	0	0	50	10	15	26	7708	0
0.5	0	0	51	1	20	28	9422	0
0.501	0	0	51	2	4	26	7708	0
0.502	0	0	51	3	5	26	7708	0
0.504	0	0	51	5	8	26	7708	0
0.505	0	0	51	6	12	24	6882	0
0.506	0	0	51	7	15	26	7708	0
0.507	0	0	51	8	20	28	9422	0
0.508	0	0	51	9	18	28	9422	0
