timestamp,ueImsiComplete,plmId,nrCellId,dlAvailablePrbs,ulAvailablePrbs,qci,dlPrbUsage,ulPrbUsage,TB.TotNbrDl.1,TB.TotNbrDlInitial,TB.TotNbrDlInitial.Qpsk,TB.TotNbrDlInitial.16Qam,TB.TotNbrDlInitial.64Qam,RRU.PrbUsedDl,TB.ErrTotalNbrDl.1,QosFlow.PdcpPduVolumeDL_Filter,CARR.PDSCHMCSDist.Bin1,CARR.PDSCHMCSDist.Bin2,CARR.PDSCHMCSDist.Bin3,CARR.PDSCHMCSDist.Bin4,CARR.PDSCHMCSDist.Bin5,CARR.PDSCHMCSDist.Bin6,L1M.RS-SINR.Bin34,L1M.RS-SINR.Bin46,L1M.RS-SINR.Bin58,L1M.RS-SINR.Bin70,L1M.RS-SINR.Bin82,L1M.RS-SINR.Bin94,L1M.RS-SINR.Bin127,DRB.BufferSize.Qos,DRB.MeanActiveUeDl,TB.TotNbrDl.1.UEID,TB.TotNbrDlInitial.UEID,TB.TotNbrDlInitial.Qpsk.UEID,TB.TotNbrDlInitial.16Qam.UEID,TB.TotNbrDlInitial.64Qam.UEID,TB.ErrTotalNbrDl.1.UEID,QosFlow.PdcpPduVolumeDL_Filter.UEID,RRU.PrbUsedDl.UEID,CARR.PDSCHMCSDist.Bin1.UEID,CARR.PDSCHMCSDist.Bin2.UEID,CARR.PDSCHMCSDist.Bin3.UEID,CARR.PDSCHMCSDist.Bin4.UEID,CARR.PDSCHMCSDist.Bin5.UEID,CARR.PDSCHMCSDist.Bin6.UEID,L1M.RS-SINR.Bin34.UEID,L1M.RS-SINR.Bin46.UEID,L1M.RS-SINR.Bin58.UEID,L1M.RS-SINR.Bin70.UEID,L1M.RS-SINR.Bin82.UEID,L1M.RS-SINR.Bin94.UEID,L1M.RS-SINR.Bin127.UEID,DRB.BufferSize.Qos.UEID,DRB.UEThpDl.UEID,DRB.UEThpDlPdcpBased.UEID
1771730699848,00002,111,3,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1771730699848,00005,111,3,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1771730699848,00017,111,3,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1771730699948,00002,111,3,139,139,1,72,0,700,507,450,250,0,101,193,173923,217,233,250,0,0,0,48,0,140,443,69,0,0,126459,3,6,4,6,0,0,2,328,0.297857,2,4,0,0,0,0,0,0,0,6,0,0,0,0,1388.173185,0.000000
1771730699948,00005,111,3,139,139,1,72,0,700,507,450,250,0,101,193,173923,217,233,250,0,0,0,48,0,140,443,69,0,0,126459,3,340,257,188,152,0,83,85022,51.777500,175,13,152,0,0,0,0,0,139,151,50,0,0,55255,5149.642688,9950.000000
1771730699948,00017,111,3,139,139,1,72,0,700,507,450,250,0,101,193,173923,217,233,250,0,0,0,48,0,140,443,69,0,0,126459,3,354,246,256,98,0,108,88573,50.114464,40,216,98,0,0,0,48,0,1,286,19,0,0,71204,4304.377635,7960.000000
1771730700048,00002,111,3,139,139,1,83,0,805,607,453,315,37,116,198,227554,237,216,255,97,0,0,0,0,160,459,182,0,4,199425,3,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1388.173185,0.000000
1771730700048,00005,111,3,139,139,1,83,0,805,607,453,315,37,116,198,227554,237,216,255,97,0,0,0,0,160,459,182,0,4,199425,3,417,300,244,136,37,117,114630,60.142321,175,69,76,97,0,0,0,0,145,168,102,0,2,101204,5303.569982,13300.000000
1771730700048,00017,111,3,139,139,1,83,0,805,607,453,315,37,116,198,227554,237,216,255,97,0,0,0,0,160,459,182,0,4,199425,3,388,307,209,179,0,81,112924,56.170893,62,147,179,0,0,0,0,0,15,291,80,0,2,98221,5203.137097,13510.000000
1771730700148,00002,111,3,139,139,1,76,0,717,563,0,2,715,107,154,824378,0,0,2,0,197,518,0,0,0,0,33,321,363,56330,3,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1388.173185,0.000000
