timestamp,cellId,hoAllowed
1771730914331,2,1
1771730914331,3,1
1771730914331,4,1
1771730914331,5,1
1771730914331,6,1
1771730914331,7,1
1771730914331,8,1
1771730914431,2,1
1771730914431,3,1
1771730914431,4,1
1771730914431,5,1
1771730914431,6,1
1771730914431,7,1
1771730914431,8,1
1771730914531,2,1
1771730914531,3,1
1771730914531,4,1
1771730914531,5,1
1771730914531,6,1
1771730914531,7,1
1771730914531,8,1
1771730914631,2,1
1771730914631,3,1
1771730914631,4,1
1771730914631,5,1
1771730914631,6,1
1771730914631,7,1
1771730914631,8,1
1771730914731,2,1
1771730914731,3,1
1771730914731,4,1
1771730914731,5,1
1771730914731,6,1
1771730914731,7,1
1771730914731,8,1
1771730914831,2,1
1771730914831,3,1
1771730914831,4,1
1771730914831,5,1
1771730914831,6,1
1771730914831,7,1
1771730914831,8,1
1771730914931,2,1
1771730914931,3,1
1771730914931,4,1
1771730914931,5,1
1771730914931,6,1
1771730914931,7,1
1771730914931,8,1
1771730915031,2,1
1771730915031,3,1
1771730915031,4,1
1771730915031,5,1
1771730915031,6,1
1771730915031,7,1
1771730915031,8,1
1771730915131,2,1
1771730915131,3,1
1771730915131,4,1
1771730915131,5,1
1771730915131,6,1
1771730915131,7,1
1771730915131,8,1
1771730915231,2,1
1771730915231,3,1
1771730915231,4,1
1771730915231,5,1
1771730915231,6,1
1771730915231,7,1
1771730915231,8,1
1771730915331,2,1
1771730915331,3,1
1771730915331,4,1
1771730915331,5,1
1771730915331,6,1
1771730915331,7,1
1771730915331,8,1
1771730915431,2,1
1771730915431,3,1
1771730915431,4,1
1771730915431,5,1
1771730915431,6,1
1771730915431,7,1
1771730915431,8,1
1771730915531,2,1
1771730915531,3,1
1771730915531,4,1
1771730915531,5,1
1771730915531,6,1
1771730915531,7,1
1771730915531,8,1
1771730915631,2,1
1771730915631,3,1
1771730915631,4,1
1771730915631,5,1
1771730915631,6,1
1771730915631,7,1
1771730915631,8,1
1771730915731,2,1
1771730915731,3,1
1771730915731,4,1
1771730915731,5,1
1771730915731,6,1
1771730915731,7,1
1771730915731,8,1
1771730915831,2,1
1771730915831,3,1
1771730915831,4,1
1771730915831,5,1
1771730915831,6,1
1771730915831,7,1
1771730915831,8,1
1771730915931,2,1
1771730915931,3,1
1771730915931,4,1
1771730915931,5,1
1771730915931,6,1
1771730915931,7,1
1771730915931,8,1
1771730916031,2,1
1771730916031,3,1
1771730916031,4,1
1771730916031,5,1
1771730916031,6,1
1771730916031,7,1
1771730916031,8,1
1771730916131,2,1
1771730916131,3,1
1771730916131,4,1
1771730916131,5,1
1771730916131,6,1
1771730916131,7,1
1771730916131,8,1
1771730916231,2,1
1771730916231,3,1
1771730916231,4,1
1771730916231,5,1
1771730916231,6,1
1771730916231,7,1
1771730916231,8,1
1771730916331,2,1
1771730916331,3,1
1771730916331,4,1
1771730916331,5,1
1771730916331,6,1
1771730916331,7,1
1771730916331,8,1
1771730916431,2,1
1771730916431,3,1
1771730916431,4,1
1771730916431,5,1
1771730916431,6,1
1771730916431,7,1
1771730916431,8,1
1771730916531,2,1
1771730916531,3,1
1771730916531,4,1
1771730916531,5,1
1771730916531,6,1
1771730916531,7,1
1771730916531,8,1
1771730916631,2,1
1771730916631,3,1
1771730916631,4,1
1771730916631,5,1
1771730916631,6,1
1771730916631,7,1
1771730916631,8,1
1771730916731,2,1
1771730916731,3,1
1771730916731,4,1
1771730916731,5,1
1771730916731,6,1
1771730916731,7,1
1771730916731,8,1
1771730916831,2,1
1771730916831,3,1
1771730916831,4,1
1771730916831,5,1
1771730916831,6,1
1771730916831,7,1
1771730916831,8,1
1771730916931,2,1
1771730916931,3,1
1771730916931,4,1
1771730916931,5,1
1771730916931,6,1
1771730916931,7,1
1771730916931,8,1
1771730917031,2,1
1771730917031,3,1
1771730917031,4,1
1771730917031,5,1
1771730917031,6,1
1771730917031,7,1
1771730917031,8,1
1771730917131,2,1
1771730917131,3,1
1771730917131,4,1
1771730917131,5,1
1771730917131,6,1
1771730917131,7,1
1771730917131,8,1
1771730917231,2,1
1771730917231,3,1
1771730917231,4,1
1771730917231,5,1
1771730917231,6,1
1771730917231,7,1
1771730917231,8,1
1771730917331,2,1
1771730917331,3,1
1771730917331,4,1
1771730917331,5,1
1771730917331,6,1
1771730917331,7,1
1771730917331,8,1
1771730917431,2,1
1771730917431,3,1
1771730917431,4,1
1771730917431,5,1
1771730917431,6,1
1771730917431,7,1
1771730917431,8,1
1771730917531,2,1
1771730917531,3,1
1771730917531,4,1
1771730917531,5,1
1771730917531,6,1
1771730917531,7,1
1771730917531,8,1
1771730917631,2,1
1771730917631,3,1
1771730917631,4,1
1771730917631,5,1
1771730917631,6,1
1771730917631,7,1
1771730917631,8,1
