% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.00421428	1	0	0	1.86278e-13	392.709	0
0.00521428	1	0	0	1.47841e-13	311.675	0
0.00521428	1	0	0	3.89111e-13	820.317	0
0.00521428	1	0	0	1.70899e-13	360.288	0
0.00521428	1	0	0	9.52534e-13	2008.12	0
0.00521428	1	0	0	1.42501e-13	300.419	0
0.00521428	1	0	0	1.61737e-11	34097.2	0
0.00521428	1	0	0	5.05142e-13	1064.93	0
0.00521428	1	0	0	1.87111e-13	394.464	0
0.00521428	1	0	0	1.67168e-13	352.421	0
0.00521428	1	0	0	4.90891e-13	1034.89	0
0.00521428	1	0	0	1.42557e-13	300.537	0
0.00521428	1	0	0	1.18794e-13	250.441	0
0.00521428	1	0	0	2.10368e-09	4.43494e+06	0
0.00521428	1	0	0	2.91273e-13	614.057	0
0.00521428	1	0	0	1.18829e-13	250.513	0
0.00521428	1	0	0	1.24397e-13	262.253	0
0.00521428	1	0	0	1.98553e-13	418.586	0
0.00521428	1	0	0	1.6734e-13	352.784	0
0.00521428	1	0	0	1.41545e-13	298.402	0
0.00521428	1	0	0	1.90094e-13	400.754	0
0.00521428	1	0	0	1.86277e-13	392.707	0
0.00621428	1	0	0	1.47841e-13	311.676	0
0.00621428	1	0	0	3.8911e-13	820.316	0
0.00621428	1	0	0	1.709e-13	360.288	0
0.00621428	1	0	0	9.52543e-13	2008.14	0
0.00621428	1	0	0	1.42502e-13	300.421	0
0.00621428	1	0	0	1.61733e-11	34096.4	0
0.00621428	1	0	0	5.05148e-13	1064.95	0
0.00621428	1	0	0	1.87111e-13	394.466	0
0.00621428	1	0	0	1.67169e-13	352.424	0
0.00621428	1	0	0	4.90895e-13	1034.9	0
0.00621428	1	0	0	1.42556e-13	300.534	0
0.00621428	1	0	0	1.18794e-13	250.439	0
0.00621428	1	0	0	2.10515e-09	4.43805e+06	0
0.00621428	1	0	0	2.91276e-13	614.063	0
0.00621428	1	0	0	1.18829e-13	250.513	0
0.00621428	1	0	0	1.24397e-13	262.252	0
0.00621428	1	0	0	1.98551e-13	418.583	0
0.00621428	1	0	0	1.6734e-13	352.784	0
0.00621428	1	0	0	1.41545e-13	298.404	0
0.00621428	1	0	0	1.90095e-13	400.755	0
0.00621428	1	0	0	1.86276e-13	392.705	0
0.00721428	1	0	0	1.47842e-13	311.677	0
0.00721428	1	0	0	3.8911e-13	820.315	0
0.00721428	1	0	0	1.709e-13	360.288	0
0.00721428	1	0	0	9.52553e-13	2008.16	0
0.00721428	1	0	0	1.42503e-13	300.423	0
0.00721428	1	0	0	1.61729e-11	34095.5	0
0.00721428	1	0	0	5.05154e-13	1064.96	0
0.00721428	1	0	0	1.87112e-13	394.467	0
0.00721428	1	0	0	1.67171e-13	352.427	0
0.00721428	1	0	0	4.909e-13	1034.91	0
0.00721428	1	0	0	1.42555e-13	300.532	0
0.00721428	1	0	0	1.18793e-13	250.438	0
0.00721428	1	0	0	2.10663e-09	4.44117e+06	0
0.00721428	1	0	0	2.91279e-13	614.069	0
0.00721428	1	0	0	1.18829e-13	250.513	0
