timestamp,ueImsiComplete,plmId,nrCellId,dlAvailablePrbs,ulAvailablePrbs,qci,dlPrbUsage,ulPrbUsage,TB.TotNbrDl.1,TB.TotNbrDlInitial,TB.TotNbrDlInitial.Qpsk,TB.TotNbrDlInitial.16Qam,TB.TotNbrDlInitial.64Qam,RRU.PrbUsedDl,TB.ErrTotalNbrDl.1,QosFlow.PdcpPduVolumeDL_Filter,CARR.PDSCHMCSDist.Bin1,CARR.PDSCHMCSDist.Bin2,CARR.PDSCHMCSDist.Bin3,CARR.PDSCHMCSDist.Bin4,CARR.PDSCHMCSDist.Bin5,CARR.PDSCHMCSDist.Bin6,L1M.RS-SINR.Bin34,L1M.RS-SINR.Bin46,L1M.RS-SINR.Bin58,L1M.RS-SINR.Bin70,L1M.RS-SINR.Bin82,L1M.RS-SINR.Bin94,L1M.RS-SINR.Bin127,DRB.BufferSize.Qos,DRB.MeanActiveUeDl,TB.TotNbrDl.1.UEID,TB.TotNbrDlInitial.UEID,TB.TotNbrDlInitial.Qpsk.UEID,TB.TotNbrDlInitial.16Qam.UEID,TB.TotNbrDlInitial.64Qam.UEID,TB.ErrTotalNbrDl.1.UEID,QosFlow.PdcpPduVolumeDL_Filter.UEID,RRU.PrbUsedDl.UEID,CARR.PDSCHMCSDist.Bin1.UEID,CARR.PDSCHMCSDist.Bin2.UEID,CARR.PDSCHMCSDist.Bin3.UEID,CARR.PDSCHMCSDist.Bin4.UEID,CARR.PDSCHMCSDist.Bin5.UEID,CARR.PDSCHMCSDist.Bin6.UEID,L1M.RS-SINR.Bin34.UEID,L1M.RS-SINR.Bin46.UEID,L1M.RS-SINR.Bin58.UEID,L1M.RS-SINR.Bin70.UEID,L1M.RS-SINR.Bin82.UEID,L1M.RS-SINR.Bin94.UEID,L1M.RS-SINR.Bin127.UEID,DRB.BufferSize.Qos.UEID,DRB.UEThpDl.UEID,DRB.UEThpDlPdcpBased.UEID
1771730860838,00005,111,5,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1771730860838,00007,111,5,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1771730860938,00007,111,5,139,139,1,44,0,317,219,204,35,78,62,98,139683,199,5,21,72,20,0,66,18,112,28,67,26,0,362417,4,226,189,113,35,78,37,134909,57.014821,108,5,21,72,20,0,0,0,105,28,67,26,0,9982,7231.435386,6600.000000
1771730860938,00003,111,5,139,139,1,44,0,317,219,204,35,78,62,98,139683,199,5,21,72,20,0,66,18,112,28,67,26,0,362417,4,20,9,20,0,0,11,1083,1.545543,20,0,0,0,0,0,13,3,4,0,0,0,0,113704,18960.464912,4500.000000
1771730860938,00008,111,5,139,139,1,44,0,317,219,204,35,78,62,98,139683,199,5,21,72,20,0,66,18,112,28,67,26,0,362417,4,44,12,44,0,0,32,2407,3.437289,44,0,0,0,0,0,32,12,0,0,0,0,0,125183,22552.718944,4500.000000
1771730860938,00009,111,5,139,139,1,44,0,317,219,204,35,78,62,98,139683,199,5,21,72,20,0,66,18,112,28,67,26,0,362417,4,27,9,27,0,0,18,1284,1.817559,27,0,0,0,0,0,21,3,3,0,0,0,0,113548,22848.180664,4190.000000
1771730861038,00003,111,5,139,139,1,28,0,473,345,292,181,0,40,128,167090,175,117,181,0,0,0,72,23,137,241,0,0,0,581012,3,89,61,89,0,0,28,6270,12.534821,89,0,0,0,0,0,21,11,57,0,0,0,0,224090,10858.268734,5240.000000
1771730861038,00010,111,5,139,139,1,28,0,473,345,292,181,0,40,128,167090,175,117,181,0,0,0,72,23,137,241,0,0,0,581012,3,343,273,162,181,0,70,159216,27.095179,45,117,181,0,0,0,10,12,80,241,0,0,0,118876,6527.536956,14880.000000
1771730861038,00006,111,5,139,139,1,28,0,473,345,292,181,0,40,128,167090,175,117,181,0,0,0,72,23,137,241,0,0,0,581012,3,41,11,41,0,0,30,1604,1.568104,41,0,0,0,0,0,41,0,0,0,0,0,0,238046,9196.758924,5240.000000
1771730861138,00010,111,5,139,139,1,17,0,126,30,118,8,0,25,96,17496,118,0,8,0,0,0,126,0,0,0,0,0,0,917192,3,44,9,36,8,0,35,8722,12.857500,36,0,8,0,0,0,44,0,0,0,0,0,0,256827,7720.577702,5240.000000
1771730861138,00006,111,5,139,139,1,17,0,126,30,118,8,0,25,96,17496,118,0,8,0,0,0,126,0,0,0,0,0,0,917192,3,36,9,36,0,0,27,3852,10.722857,36,0,0,0,0,0,36,0,0,0,0,0,0,374687,11650.972411,5240.000000
1771730861138,00004,111,5,139,139,1,17,0,126,30,118,8,0,25,96,17496,118,0,8,0,0,0,126,0,0,0,0,0,0,917192,3,46,12,46,0,0,34,4922,3.418947,46,0,0,0,0,0,46,0,0,0,0,0,0,285678,9868.038030,5240.000000
1771730861238,00010,111,5,139,139,1,10,0,166,114,166,0,0,15,52,20196,166,0,0,0,0,0,63,6,97,0,0,0,0,902680,2,36,9,36,0,0,27,3192,8.935714,36,0,0,0,0,0,36,0,0,0,0,0,0,383155,8769.779599,5240.000000
1771730861238,00002,111,5,139,139,1,10,0,166,114,166,0,0,15,52,20196,166,0,0,0,0,0,63,6,97,0,0,0,0,902680,2,130,105,130,0,0,25,17004,7.157692,130,0,0,0,0,0,27,6,97,0,0,0,0,519525,9789.639996,6280.000000
