timestamp,ueId,nrCellId
1771730860838,1,7
1771730860838,2,6
1771730860838,3,5
1771730860838,5,4
1771730860838,6,4
1771730860838,7,5
1771730860838,8,5
1771730860838,9,5
1771730860838,10,8
1771730860838,11,4
1771730860838,12,6
1771730860838,13,7
1771730860838,14,6
1771730860938,1,7
1771730860938,2,8
1771730860938,4,3
1771730860938,5,8
1771730860938,6,5
1771730860938,7,7
1771730860938,8,3
1771730860938,9,6
1771730860938,10,5
1771730860938,11,7
1771730860938,12,4
1771730860938,14,8
1771730861038,1,7
1771730861038,2,6
1771730861038,3,6
1771730861038,4,5
1771730861038,5,8
1771730861038,6,5
1771730861038,7,4
1771730861038,9,3
1771730861038,10,5
1771730861038,11,3
1771730861038,12,4
1771730861038,13,7
1771730861038,14,6
1771730861138,1,6
1771730861138,2,5
1771730861138,3,6
1771730861138,4,6
1771730861138,5,4
1771730861138,6,6
1771730861138,7,3
1771730861138,8,3
1771730861138,9,4
1771730861138,11,7
1771730861138,12,6
1771730861138,13,6
1771730861138,14,4
1771730861238,1,5
1771730861238,2,3
1771730861238,4,4
1771730861238,5,3
1771730861238,6,6
1771730861238,7,5
1771730861238,8,7
1771730861238,9,3
1771730861238,10,5
1771730861238,11,4
1771730861238,12,8
1771730861238,13,6
1771730861238,14,8
1771730861338,1,7
1771730861338,2,3
1771730861338,3,5
1771730861338,4,3
1771730861338,5,4
1771730861338,6,8
1771730861338,7,5
1771730861338,8,7
1771730861338,9,3
1771730861338,10,6
1771730861338,11,3
1771730861338,12,5
1771730861338,13,4
1771730861338,14,7
