timestamp,ueImsiComplete,plmId,nrCellId,dlAvailablePrbs,ulAvailablePrbs,qci,dlPrbUsage,ulPrbUsage,TB.TotNbrDl.1,TB.TotNbrDlInitial,TB.TotNbrDlInitial.Qpsk,TB.TotNbrDlInitial.16Qam,TB.TotNbrDlInitial.64Qam,RRU.PrbUsedDl,TB.ErrTotalNbrDl.1,QosFlow.PdcpPduVolumeDL_Filter,CARR.PDSCHMCSDist.Bin1,CARR.PDSCHMCSDist.Bin2,CARR.PDSCHMCSDist.Bin3,CARR.PDSCHMCSDist.Bin4,CARR.PDSCHMCSDist.Bin5,CARR.PDSCHMCSDist.Bin6,L1M.RS-SINR.Bin34,L1M.RS-SINR.Bin46,L1M.RS-SINR.Bin58,L1M.RS-SINR.Bin70,L1M.RS-SINR.Bin82,L1M.RS-SINR.Bin94,L1M.RS-SINR.Bin127,DRB.BufferSize.Qos,DRB.MeanActiveUeDl,TB.TotNbrDl.1.UEID,TB.TotNbrDlInitial.UEID,TB.TotNbrDlInitial.Qpsk.UEID,TB.TotNbrDlInitial.16Qam.UEID,TB.TotNbrDlInitial.64Qam.UEID,TB.ErrTotalNbrDl.1.UEID,QosFlow.PdcpPduVolumeDL_Filter.UEID,RRU.PrbUsedDl.UEID,CARR.PDSCHMCSDist.Bin1.UEID,CARR.PDSCHMCSDist.Bin2.UEID,CARR.PDSCHMCSDist.Bin3.UEID,CARR.PDSCHMCSDist.Bin4.UEID,CARR.PDSCHMCSDist.Bin5.UEID,CARR.PDSCHMCSDist.Bin6.UEID,L1M.RS-SINR.Bin34.UEID,L1M.RS-SINR.Bin46.UEID,L1M.RS-SINR.Bin58.UEID,L1M.RS-SINR.Bin70.UEID,L1M.RS-SINR.Bin82.UEID,L1M.RS-SINR.Bin94.UEID,L1M.RS-SINR.Bin127.UEID,DRB.BufferSize.Qos.UEID,DRB.UEThpDl.UEID,DRB.UEThpDlPdcpBased.UEID
1771730860838,00001,111,3,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1771730860838,00002,111,3,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1771730861038,00004,111,3,139,139,1,12,0,215,156,215,0,0,18,59,25798,215,0,0,0,0,0,48,11,156,0,0,0,0,400456,2,48,12,48,0,0,36,3816,3.565372,48,0,0,0,0,0,48,0,0,0,0,0,0,153698,8548.998901,6390.000000
1771730861038,00008,111,3,139,139,1,12,0,215,156,215,0,0,18,59,25798,215,0,0,0,0,0,48,11,156,0,0,0,0,400456,2,167,144,167,0,0,23,21982,15.392174,167,0,0,0,0,0,0,11,156,0,0,0,0,246758,6204.619572,6490.000000
1771730861138,00008,111,3,139,139,1,17,0,204,114,169,35,0,24,90,45051,154,15,35,0,0,0,68,26,59,43,8,0,0,1091146,3,79,56,79,0,0,23,9114,17.945893,79,0,0,0,0,0,0,20,59,0,0,0,0,373333,6453.284821,5860.000000
1771730861138,00009,111,3,139,139,1,17,0,204,114,169,35,0,24,90,45051,154,15,35,0,0,0,68,26,59,43,8,0,0,1091146,3,81,46,46,35,0,35,32392,5.184164,31,15,35,0,0,0,28,2,0,43,8,0,0,355823,14429.506648,7230.000000
1771730861138,00011,111,3,139,139,1,17,0,204,114,169,35,0,24,90,45051,154,15,35,0,0,0,68,26,59,43,8,0,0,1091146,3,44,12,44,0,0,32,3545,2.489885,44,0,0,0,0,0,40,4,0,0,0,0,0,361990,16429.854264,5240.000000
1771730861238,00008,111,3,139,139,1,10,0,101,53,101,0,0,15,48,12098,101,0,0,0,0,0,38,30,33,0,0,0,0,958463,2,63,42,63,0,0,21,10050,14.793571,63,0,0,0,0,0,0,30,33,0,0,0,0,488697,7020.655228,5650.000000
1771730861238,00007,111,3,139,139,1,10,0,101,53,101,0,0,15,48,12098,101,0,0,0,0,0,38,30,33,0,0,0,0,958463,2,38,11,38,0,0,27,2048,1.169817,38,0,0,0,0,0,38,0,0,0,0,0,0,469766,11021.273693,5240.000000
1771730861338,00002,111,3,139,139,1,11,0,675,526,153,452,70,16,149,292846,88,65,329,153,40,0,54,5,44,134,438,0,0,1643040,3,286,217,53,163,70,69,121064,6.565335,33,20,127,66,40,0,0,0,43,52,191,0,0,565326,8010.821539,8800.000000
1771730861338,00005,111,3,139,139,1,11,0,675,526,153,452,70,16,149,292846,88,65,329,153,40,0,54,5,44,134,438,0,0,1643040,3,48,12,48,0,0,36,1556,0.776767,48,0,0,0,0,0,48,0,0,0,0,0,0,612763,25125.341708,5240.000000
1771730861338,00009,111,3,139,139,1,11,0,675,526,153,452,70,16,149,292846,88,65,329,153,40,0,54,5,44,134,438,0,0,1643040,3,341,297,52,289,0,44,170226,10.217793,7,45,202,87,0,0,6,5,1,82,247,0,0,464951,9301.821104,16450.000000
